shop_name,country,length_of_app_use,date,rating,review
Logitech Club,Hong Kong SAR,About 4 hours using the app,"October 27, 2024",5,Quick response time and clear instruction
Miss Daisy's Consignment & Auction House,United States,22 days using the app,"October 21, 2024",5,Very easy to use. Im looking forward to buliding this up and see what happens. Sam was very helpful in getting me started! Thank  you!
Atomic Furnishing & Design,United States,1 day using the app,"October 18, 2024",5,I was pretty intimidated by setting up an auction but their support team and chat is AWESOME! Highly recommend.
Robert Terkla,United States,About 14 hours using the app,"September 17, 2024",5,I switched over from a different auction app and I am glad I made the switch. Extremely helpful
Sportauction,Netherlands,1 day using the app,"September 17, 2024",5,"The app offers the best auction functionality out there from what I have seen so far. Evenly important, the customer service support is great. They are unbelievably fast with their response. They are flexible and open to discuss and adapt to solutions that suite your business case within what is technically reasonable. Great app, great support!"
Guitar Kit Shop,China,About 2 hours using the app,"September 10, 2024",5,the service and support is great! fast and professional! this app is nice! we recommend it to you!
GeoGuessr,Sweden,About 11 hours using the app,"September 9, 2024",5,The team at Auction Today have gone up and beyond to help us go live with our new shop. With an almost 24/7 support they have been very patient with all our questions.
Endless Night Vampire Ball,United States,4 months using the app,"August 27, 2024",1,"We were excited to use this app because of the reviews. Customer support is non-existent. Seems not to work with Shopify 2.0. Looking at other apps.

Thank you for your review. Our support team helped you promptly, so that the auction widget is shown on your product with Shopify theme 2.0. We will be happy to help you further with any queries you might have to customise the Auction widget further. Please allow us an opportunity to help you again."
WazzaVerse,United Kingdom,About 21 hours using the app,"August 25, 2024",5,"Shakil was super helpful to get my issue resolved within a couple of mins. I couldn't get the widget to show on my theme but he was patient and understanding of my problem and also asked if there was anything else he can do to support.
This is the level of support you want from top companies like Auction Today. Thank you again :)"
Aranda | South Africa,South Africa,8 days using the app,"August 13, 2024",5,Great App. Customer support is quick and very thorough. Very helpful and strongly recommend Auction Today if you are looking for an online auction App.
Lish Cooke Art,United States,Over 1 year using the app,"Edited May 1, 2026",5,"I was originally having trouble getting the auction block to load, but a quick couple messages to customer service had the problem resolved! Thank you so much! I can’t wait to use this app!"
Official Pix,United States,About 1 month using the app,"August 5, 2024",5,"So far, perfect.  Also the support team is extremely quick to answer any questions."
Make it Glassy,Germany,About 1 hour using the app,"July 27, 2024",5,Perfect! Thank you Very much Shakil !You made me help perfect
Julian Llouve,United States,37 minutes using the app,"July 26, 2024",5,"I tried many auction apps before this one.. however they all lack support. today i am so grateful to receive the best help ever.

thanks so much SHAKIL !!!!"
angeltype,United States,3 months using the app,"Edited October 16, 2024",5,Support was very helpful in making the app work to my liking with my store. We had to customize a few things but they did it very quickly for me. The auction feature is working great as well. So far so good! Shout out to Mack!
Taylor Joelle,United States,3 months using the app,"Edited October 14, 2024",5,Good customer service. I spoke with Mack and he was extremely helpful and patient.
Yaeli Vogel,United States,About 20 hours using the app,"July 12, 2024",5,Amazing customer service and the app is extremely easy to use and well thought out!
MyRacehorse Shop,United States,7 months using the app,"July 3, 2024",5,Quick and friendly support!
Tactical Pterodactyl Knives,United States,About 2 years using the app,"Edited August 15, 2026",5,Support is extremely responsive and helpful with setup!
Kenara Multiservices Shop,United States,3 months using the app,"June 24, 2024",5,perfect
POKÉ JEUX,Canada,About 3 hours using the app,"June 18, 2024",5,Super customer service
Mountain Girl AG LLC,United States,About 2 months using the app,"June 11, 2024",4,"We haven't done the live auction yet (which is the only reason why I gave it 4 stars), but comparing and testing this app to the few others, this had all of the features we needed. I tested it several months ago and am now getting ready for the auction. I needed support with the widget, which is really quite simple in how it works. I had edited my product template and hid the buy buttons, which is what triggers the widget to be shown. Support was excellent and I didn't wait long for someone to reach out to me on live chat and figure out what the issue was. I am excited to finish setting up the action and seeing it in action."
Harriet Lawless Artist,United Kingdom,About 2 hours using the app,"June 6, 2024",5,I've set up my first auction and all going well so far. Shakil was very helpful with installing it into my theme.
BigBest23,United States,31 minutes using the app,"June 5, 2024",5,great experience fast support agent
South West Optics,United Kingdom,2 months using the app,"June 4, 2024",5,
ForgeAndTinker,United States,About 2 hours using the app,"May 31, 2024",5,"Super fast and easy setup with a very clean interface. I had one question before making our first auction live. Shakil got us setup and going in minutes, great experience so far!"
Pewabic Pottery,United States,About 23 hours using the app,"May 29, 2024",5,"Our store recently moved over to a 2.0 Theme and we needed a new auction app for a once-a-year event. We are using the Advanced plan ($15/month). This app was perfect for our needs, easy to set up in an afternoon and customizable with our brand colors. I had a quick question with set-up and the person I talked to in the customer service chat was fast, thorough, and super friendly. I would definitely recommend this app."
Amazing Finds (CA),United States,20 days using the app,"May 28, 2024",5,"super helpful, always responds to questions, very direct, easy to use"
Frank‘s Koi,Germany,About 2 months using the app,"May 28, 2024",5,"I am extremely satisfied with the Shopify Auctions App. The support, in particular, is outstanding. They respond very quickly and are highly competent. They have been able to assist me promptly and efficiently with every question and issue I've had. I highly recommend this app."
DIRECT RAW MATERIALS,Australia,6 days using the app,"May 16, 2024",5,Prompt support.
Evolution Sports Cards,Canada,23 days using the app,"May 3, 2024",5,Amazing App Use it everyday Customer support is also amazing
Licit Glass,United States,11 days using the app,"April 28, 2024",5,"Encountered a challenge while setting up the app on the website (Our Issue not apps). The support team swiftly resolved the issue within 15 minutes of our request.

Grateful for the diligent efforts of the support team in ensuring smooth functionality of their app. Definitely planning to recommend Auctions Today to others."
Stanley Mill Furniture & Antiques Centre,United Kingdom,3 days using the app,"April 23, 2024",5,fantastic customer support thanks so much
SPECS.ONL,Sweden,About 7 hours using the app,"April 16, 2024",5,"Customer service made the installation a piece of cake! I recommend!
looking forward to use this app : )"
ThistleWaithe,United States,3 days using the app,"Edited April 18, 2024",5,The app is great and the customer support is outstanding. So helpful - thanks!!
Sheboygan Discount Warehouse,United States,1 day using the app,"April 2, 2024",5,"super fast, amazing support"
Andara Temple,Indonesia,1 day using the app,"March 25, 2024",5,"Excellent customer support, Shakil is quick to respond and delivers swift solutions."
Faithe Bey Art,United States,4 days using the app,"March 24, 2024",5,"We've been using the app for 3 days so far, and we've had nothing short of an incredible experience! The platform itself is better than the competitors we've used on the App Store so far, not just in features but in tech support as well! 
If this app isn't exactly what you're looking for, we highly recommend talking to support first before ending your free trial because Shakil and his team have been extremely accommodating with any problem we've run into, and they've taken our feedback and suggestions seriously! 
Would 100% recommend!"
Ankandet,Kosovo,26 days using the app,"March 23, 2024",5,The support from the team has been exceptional. We have been running offline auctions for 13 years selling thousands of products and the move to online has been seamless and very fast thanks to Auction Today. Would highly recommend.
Ultra Ferric,United States,9 days using the app,"March 19, 2024",1,"I experienced significant issues with this app, leading to two instances where it disrupted my store's functionality.

The mobile interface freezes when attempting to access features not included in my subscription plan. 
Furthermore, the starter plan, priced at $9/month, lacks automation for basic tasks, relegating even email notifications to a ""premium"" feature.

My encounters with customer service were particularly disappointing. Their responses felt dismissive and unhelpful, leaving me with the impression that my concerns were an inconvenience rather than valid issues needing resolution.

Thank you for your review. As you can see from dozens of other reviews we pride ourselves in providing top-notch customer service, I believe there was some confusion on what was causing the issue with your theme, as you may already know there are 100s of themes in Shopify Ecosystem and if its something specific to your theme we would have been happy to work with you to identify the issue. In terms of the starter plan, we clearly specify in our pricing section, what is included in what plan. On the point of the mobile interface, App's admin interface is fairly complex and feature-rich and hence best suited for a desktop, however, our storefront widget which is what customers see is fully responsive on mobile devices. Finally if you allow us to serve again by installing the app, we will ensure we resolve the theme issue you were having."
Studio MD Design,United Kingdom,About 7 hours using the app,"March 18, 2024",4,Have just set up my first auction. It is a good clear platform. New to Shopify and so wasn't certain on how to integrate but I contacted support on live chat and got everything sorted in a couple of minutes! Thank you to Shakil for his assistance!
S and E Hobbies and Collectables,United States,About 3 hours using the app,"March 16, 2024",5,Customer service had our issues fixed and things running smoothly very quickly
Portland Gear,United States,43 minutes using the app,"March 13, 2024",5,"Have always wanted to run Auctions on our website - this was a great app to use. Leading the way is the customer service!

Shout out to Shakil for providing 10 star customer service and helping me dial it in. Responded to my questions within 5 minutes and made changes on the fly. It was like I had my own developer!

Looking forward to utilizing this app. Thank you!"
Zombie Unicorn Comics,United States,About 1 year using the app,"March 12, 2024",5,Finally found an auction app that works well with my store theme. Had a few questions setting up and received answers within minutes. Outstanding support. Time to setup some live auctions!
Zu's Underground,United States,About 12 hours using the app,"March 3, 2024",5,Just got started and needed support. They were very quick to answer and resolve. A+
LAMACA Handmade Axes,United States,11 months using the app,"February 29, 2024",5,Reliable and easy to use. Excellent tech support. We’ve had a lot of success with it! No question it’s worth the subscription fees.
Tony Lucca,United States,3 days using the app,"February 26, 2024",5,"This is a great app - Shakil talked me through quite a few questions I had today, and was very helpful, making sure we got to the answer every time. Definitely recommend!"
Les Folies d'Eugenie,France,About 3 hours using the app,"February 23, 2024",5,
TLW50th,United States,About 16 hours using the app,"February 16, 2024",5,"Shakil is AMAZING!  Support is superior!  If he is the face of this company, then this company is going places!!!  One of the best encounters, technically and personally, I've ever experienced."
Principality of Sealand,United Kingdom,4 days using the app,"February 12, 2024",5,Quick and easy to use. Great customer service.
The Oxherd Boy,United States,6 months using the app,"Edited August 8, 2024",5,"Used for a charity auction online, and was straightforward with extremely highly responsive service"
Milestone Equestrian,Canada,8 days using the app,"February 5, 2024",5,
Fireproof Coffee,United States,About 1 hour using the app,"January 29, 2024",5,"So far, so good! Had some questions with set-up and they were really speedy with customer service–and helpful!"
AnnaLovesPottery,United Kingdom,Almost 2 years using the app,"Edited June 21, 2025",5,"I'm using auction today on my website and I can only recommend it to everyone! Super easy to use, and if you have any problem, you can message customer service who will reply with a solution in less than 5 minutes  5 stars well deserved!!"
The Oz Noy Store,United States,About 1 hour using the app,"January 19, 2024",5,"Great support, very easy to navigate!"
Rose Blush Studios,Canada,39 minutes using the app,"January 19, 2024",5,
Maritime Tropical Decor & Statues,Canada,About 1 month using the app,"January 17, 2024",5,Excellent support from Shakil regarding improving customer experience with auction collections.
GraceGuard,United States,About 1 hour using the app,"January 11, 2024",5,Shakil was amazing in helping me get the auction up and running. 5/5 would recommend!
Art of the Sea | #1 Coastal Wall Decor,Canada,About 3 hours using the app,"January 3, 2024",5,Great live chat support. I've just set up my first auction. Very excited to see what comes of it. Shakil was very helpful and responsive.
Last Dive Bar,United States,About 2 months using the app,"January 1, 2024",5,"Five stars for this fantastic auction app!  Not only does it run my auctions smoother than a well-oiled machine, but their customer service is also lightning fast and super helpful.

Thanks a bunch"
HVRNT,United States,22 minutes using the app,"December 8, 2023",5,Great responsive help.
quitit.co.nz,New Zealand,About 1 hour using the app,"December 6, 2023",5,"Shakil, was really helpful and asked all of my questions & more.
This is the best back up support I have had."
Tiny Toes Design,United States,About 7 hours using the app,"December 3, 2023",5,"Customer Service is fantastic...still trying to learn the app, but the customer service is great."
Libby Haines Art,Australia,1 day using the app,"November 28, 2023",5,Shakil responded to me immediately and swiftly helped me with my technical issues! Looking forward to going live with my auction next week!
Laibach WTC,Slovenia,About 1 hour using the app,"November 27, 2023",5,"Friendly support, nice app"
My Store,Pakistan,About 1 hour using the app,"November 20, 2023",5,"Very fast and co-operative support.
I highly recommend them"
Rabljeno.net,Slovenia,About 24 hours using the app,"November 19, 2023",5,Great support! Fast and great app.
Omaha Blue Wholesale,United States,About 1 month using the app,"November 17, 2023",5,"I have had quite a few questions for customer support since I integrated this app with my store. Whether it's finding practical solutions to a problem I am facing, or needing the developers to update a problem on the backend, customer support is always there and willing to help. There are still some features I would love to see added to the platform to make it even more user friendly and enhance the customer's experience. That being said, I like this product. Auction Today has been a big help to me and streamlining how my business is run."
Game of Cards,United States,6 minutes using the app,"November 16, 2023",1,"Extremely difficult to use and implement. Features are unnecessarily confusing and doesn't mesh well, requiring a ""widget"" to be installed on your site."
Six Blades Jiu-Jitsu,United States,3 days using the app,"November 3, 2023",5,super fast and prompt response. fixed issues quickly
Americana Rare Coin,United States,About 22 hours using the app,"November 2, 2023",5,This app is LEGIT! Thank you for the amazing quick response to help me get my first auction running.
Madi Mac Fashions,United States,1 day using the app,"October 25, 2023",5,"I’ve tried a couple different auction apps and have deleted them because they were so difficult to navigate/install. This one was SO easy!! But be conscious of the fact that you may need the app developer to activate something on his end before the auction can go LIVE. Just leave yourself enough time to do that! But once you’re ready, the customer service is excellent! Helped me get my auctions LIVE immediately! So excited to use this app."
Circus of Books,United States,2 months using the app,"Edited March 6, 2025",5,My second time installing and using this app. So far it has been great again!
bloorips,United States,7 months using the app,"Edited October 17, 2023",5,"This review is left pre auction ending however I was unable to get the widget to work and support fixed it with lightning speed. Will post an update once I see how the checkout experience is. Great app so far!!

Edit... The support for this app has been beyond amazing getting everything dialed in just like I wanted it. Great team at Auction Today. Keep up the great work!"
Azyrum,United Kingdom,About 19 hours using the app,"October 15, 2023",5,"Very good app, well built, easy to use, nice customer service. My customer love this app. Well done guys and thank you."
Manuela Valenti Studio & Gallery,United States,About 1 hour using the app,"October 8, 2023",5,"Very simple, customizable and straight forward auction app for our gallery. We had a little hiccup, but a little interaction with their wonderful customer service fixed it in no time. Lovely that the look can be customized to fit our theme. Looking forward to offer this service to all our collectors."
Steve Diossy Marine Artist,United States,About 2 months using the app,"October 3, 2023",2,"First off, i couldn't set up an auction without them installing it for us. Then, we realize customers cant see the current bids or countdowns unless logged in. It took them over 4 days to figure it out. When they ""fixed"" it- 2 days after our auction ended- we realized we were getting emails from customers saying they couldn't order art from us because all of the variants and add to cart were not visible on google chrome. Unbelievable. Don't risk it!"
Blacktail Studio,United States,About 1 hour using the app,"September 27, 2023",5,"I purchased this app because of it's function, but more importantly because of the great reviews with the support... Fantastic Job - the support was 5 STARS!!!!

GET THIS APP - the team will not let you down!!!"
Hobby Saguenay,Canada,About 16 hours using the app,"September 20, 2023",5,Good support service. Shakil is very helpful. thank you
Valley Bath and Kitchen,Canada,About 22 hours using the app,"September 7, 2023",5,So far so good! Great customer service!
John Strauss Furniture,United States,About 1 hour using the app,"September 6, 2023",5,"We are just getting started with this app.  We stumbled in the beginning, but the live chat help was available right away and kindly walked us through the set-up. So far, so good!"
RBN Business,Iraq,About 1 hour using the app,"September 5, 2023",5,"I recently downloaded and started using Auction Today for my Shopify store, and I couldn't be happier with the results. This app has added a whole new dimension to my online business. The setup process was straightforward and user-friendly. Within minutes, I had my first auction up and running. I had a couple of questions during the initial setup, and the customer support team was incredibly responsive and helpful. They quickly resolved my queries."
Horning's Farm Shop,United States,1 day using the app,"September 1, 2023",5,"Very easy-to-use app and integrates well with 2.0 themes using the app embedding. Had trouble with the widget showing up right away but support was quick to help and got everything soothed over.

The one feature I would really like to see would be one to enable proxy bidding, as that's becoming a standard on all online auction tools.

It's very easy to navigate to what you want to do, as well as good explanations of what each setting does. Another setting I would like to see would be to be able to hide the quantity button on the product pages. There is currently the option to hide the payment, add to cart, and price. Being able to hide the quantity would clean the page up more.

Overall it has been a great, user-friendly app.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

In addition we already have functionality to hide the quantity, price etc, would you mind please reach to our live support team, they will be able to fic it in a minute.

Thank you"
SAANSO,Sweden,28 days using the app,"September 1, 2023",5,"Bra service och snabb hjälp!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Hooked on Pickin',United States,About 1 hour using the app,"August 31, 2023",5,"I had almost immediate help when i could not solve a problem i tried another app and this one is by far superior. it is so user friendly and the customer service was fast and super helpful. I would highly recommend. I sell auction style and also buy it now on my website.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Westcan Aircraft Auction,Canada,About 22 hours using the app,"August 22, 2023",5,"Shakil was very helpfull with set up 
very quick response time and answered all my questions . would defiantly recommend

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Exclusive Vintage Watches Investment,Poland,41 minutes using the app,"August 13, 2023",5,"great technical support. They solve problems quickly. I recommend the app. It's great. I wish you a lot of success

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Kenna's Crystals,Canada,14 days using the app,"August 13, 2023",5,"So far so good! We have just started using the app for auctions and it works well. Their customer service is awesome. They respond almost immediately at all times of the day.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Smash It Sports,United States,1 day using the app,"August 9, 2023",5,"The app works great! The dev team is very helpful and quick to respond.  Exactly what our company was looking for.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
James and Jess' House of Goods,United States,39 minutes using the app,"August 9, 2023",5,"So far, it's been great. Customer service was quick to respond as well. Definitely better than the other auction app I tried!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Mia Maples Market,Canada,14 days using the app,"August 8, 2023",5,"It looks and works perfectly! The support team is great and will be able to help you super quickly!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Guild Hall,United States,8 days using the app,"August 3, 2023",5,"I was working with Shakil to solve a problem we were experiencing in the setup of our silent auction. Shakil was great! He understood and took care of our needs expeditiously and with kindness. He also sent print materials for extra support. Rarely do you have such a good customer service experience. Thank you, Shakil!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
bavarianoldschool.com,United Kingdom,About 2 hours using the app,"July 29, 2023",5,"App recommendation 10+ and support is excellent. They fixed the problem quickly 10+ Application is very good

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
XIX Culture,United States,About 1 hour using the app,"July 20, 2023",5,"Amazing people to work with the contact support was really helpful! They helped me with the process of learning the app.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality. 
Thank you"
My Store,United States,15 days using the app,"July 18, 2023",5,"Great app. Anik helped me out to get the app working like we need.  The ease & functionality is exactly what we needed to get our auction site moving forward.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Imperial Productions,New Zealand,4 days using the app,"July 3, 2023",5,"Very responsive and helpful support.  Just getting started on auction journey. Some more refinement around the formatting of system generated email would be nice for future releases.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Mark Lindsay Music & Memorabilia,United States,1 day using the app,"June 24, 2023",5,"Shakil was great at helping me with my first auction and helped me set up something I didn't even know was an option. Love this app

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality. 
Thank you"
wagnerartedition.com,Germany,About 2 months using the app,"June 20, 2023",5,"I am absolutely thrilled with the ""Auction Today"" app. It has proven to be an invaluable tool in my professional life. The user interface is not only intuitive and user-friendly, but also offers a wealth of features that make any auction process seamless.

From auction organization to auctioning, everything is designed to provide both providers and bidders with an effortless experience. The app's real-time bidding feature is particularly noteworthy, creating a sense of excitement and competition that is no less than that of a traditional auction house.

Another plus point is the professional customer service that is available around the clock. Each of my inquiries was answered promptly and competently. This shows the dedication and commitment of the ""Auction Today"" team to its users.

The ability to offer my art to my clients in such a direct and interactive way has taken my business to a new level. My clients are thrilled with the opportunity to bid on my art, and the feedback I have received has been overwhelmingly positive.

I am incredibly glad to have found this app. ""Auction Today"" was exactly what I was looking for. It's an innovative and effective solution for anyone involved in the world of auctions, and I would recommend it without hesitation. A truly impressive piece of software that shows how the connection of art and technology can create a win-win situation for everyone involved.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality. 
Thank you"
Planners Anonymous,Australia,About 1 hour using the app,"June 8, 2023",5,"Just downloaded and installed the app. I was pretty easy to setup and has some fantastic features, especially for the price. 
I had a few questions and Sabrina (customer service) answered me within 5 minutes within the apps chatbox and was super helpul! Great experience so far.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Retro Chip,Spain,About 1 hour using the app,"June 5, 2023",5,"Thanks to Sabrina my Issue in product page was solved in less than a minute. The app works great and you can translate the board keywords into your own language in product page.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Digraphe,France,About 1 hour using the app,"May 25, 2023",5,"very easy to start, the support was quick and efficient.
très facile à démarrer, le support était rapide et efficace.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality. 
Thank you"
Shatterproof Archery,United States,6 days using the app,"May 23, 2023",4,"The auction looks good on our website. Had some issues with it showing up for a few customers but customer service resolved the issue within 30 minutes of reaching out. Thanks so much!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality. 
Thank you"
Terrafirma,Chile,20 days using the app,"May 11, 2023",5,"Excellent customer service, despite not being my native language English, they knew how to solve my doubts

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Leaf Trading Cards,United States,7 months using the app,"May 10, 2023",5,"I had a few issues when installing the app, some of them were on my side, some of them were on the side of the app. However, the support team was able to help me quickly, effectively and answered all my questions.

Thank you!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Muse Clay Designs,United States,16 days using the app,"May 9, 2023",5,"She worked with my questions and continued to be polite and helpful. She was able to answer all of my needs.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Resin Art NZ,New Zealand,About 2 hours using the app,"Edited May 5, 2023",5,"Really quick reply and helpful support! Shakil gives us a quick response and fix the problem in 10 minutes.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.
Thank you"
Cooking With Greens,United States,About 2 hours using the app,"Edited May 2, 2023",5,Great interface and highly functional. I Highly recommend the app and it's exceptional service! Thank you Sabrina for your time and patience!
Semen Tanks - Select Genetics,United States,About 1 hour using the app,"April 27, 2023",5,Needed help setting up app today and was helped by Shakil.  He was very helpful and kindhearted.  We are all set up now and auctioning off items....;-)
Emma Jeans,United States,15 days using the app,"April 26, 2023",5,"Super easy to install.  Very user friendly.  When I had an issue, they responded quickly and even went above and beyond to help with coding.  Customers love the idea of having auctions on our site now!  Thank you so much for this App and your customer service.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Schnappin Deals,United States,3 days using the app,"April 22, 2023",5,"Very satisfied with the assistance from Shakil. The team helped correct an issue on the collection page of my auctions.  I look forward to seeing the Auction Today app grow.  The support pages are very responsive and take input from other users for future feature enhancements.  I recommend the app and these developers.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Canna Queens Project,United States,6 days using the app,"April 18, 2023",5,"Great and Helpful Customer Service, So far, works what what we needed. Still learning all the ins and outs.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Tropical Isopods,United States,2 months using the app,"April 14, 2023",5,"Great fast customer service. Auctions are simple to set up, only thing i wish they would add is automatic auction winners, and a bit more customizable winner emails

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Reitsport Schlenderhannes,Germany,About 2 months using the app,"April 1, 2023",5,"Ich hatte heute Probleme mit einer neuen Auktion. Auf meine Anfrage hin, bekam ich sofort Antwort und mein Problem wurde in kürzester Zeit zufriedenstellend gelöst. SUPER vielen Dank, weiter so

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
LoftVintageToys,United Kingdom,About 6 hours using the app,"March 12, 2023",5,"Great add on for my retail website. I had a small issue that I couldn't quite figure out, so contacted customer support and they had it resolved within a few hours on a Sunday afternoon. Looks great, works great and good value. Thanks Chris

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Cabot Watch Company,United Kingdom,About 1 hour using the app,"March 7, 2023",5,"easy to set up, almost did it but needed to contact support, quick and easy fix and was working in 5 minutes.

Hopefully this will increase our sales and create a buzz with our customers.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Poke-Collect,United States,About 1 hour using the app,"February 22, 2023",5,Great support! App works very well and we are very excited to use it. Team was able to answer all of my questions very quickly.
Cursed Camp Studios,United States,9 days using the app,"February 22, 2023",5,"Was having a few issues setting the auction up on my store and Shakil was more than helpful and took care of my issue right away. Excellent, excellent customer service. Highly recommended!"
MilkyTomato,United States,About 1 hour using the app,"February 18, 2023",5,"Great product!  Worked just as I hoped!  Was able to deploy quickly and get my auctions going!  Tech support was super responsive and helpful!  Excited to run some auctions on my shopify store!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
PardonMyKicks,Sweden,4 days using the app,"January 19, 2023",5,"Great app if you are looking for setting up auctions on your website. The team behind is really helpful and they have helped me solve any issues along the way.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
O'Rourke Crystal Awards & Gifts,United States,5 months using the app,"January 15, 2023",5,"Works well and is easy to set up. Happy with the app.
 Very fast support when I contacted them and they resolved the issue on the spot

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Stamps Mall,Romania,About 1 hour using the app,"January 11, 2023",5,"Nice application and very useful in making online sales more attractive. Fast and good quality support. Highly recommended.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
Nat20 Games,United States,About 23 hours using the app,"January 5, 2023",5,"Great app with an excellent customer support team. I highly recommend this if you need to apply auction functionality to your product listings.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
zooxae.com,United States,5 days using the app,"December 27, 2022",5,"The app is great. Compared to other apps in the app store, this app offered a lot of customization options. The support team is amazing as well; while other app devs use emails to respond which can take forever, they have an in-built chat option within the app to respond in real-time going over all your queries. Definitely a 5 star experience.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
FROM ARTIST,Japan,About 4 hours using the app,"December 20, 2022",5,"The dashboard is also easy to understand. Correspondence is also wonderful. It is easy to use because it is in Japanese.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
EMMYDEVEAUX BUYBACK,Canada,2 days using the app,"December 9, 2022",5,"Very fast customer support which is always appreciated! App is pretty easy to use. I have used another one before and it was VERY challenging to navigate!

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
J'adore Vintage,Netherlands,3 days using the app,"December 2, 2022",5,"Very User friendly app. It has an easy, good UI. Tech support is very helpful and fast. An auction is setup in minutes.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
OQHA,Canada,2 days using the app,"November 28, 2022",5,"The support could not be any better. I did run into some issues setting up, but they were always resolved *instantly* by Jack who operates the support chat. The app does what it's intended to do, which is a unique benefit, but the support team definitely makes it worth choosing this app over a different auction option.

We're glad we were able to fulfill your needs, Positive comments like yours encourage us to put in a lot of effort and keep offering better auction functionality.

Thank you"
